,City,Cloudiness,Country,Humidity,Lat,Lng,Temp,Wind Speed
0,ponta delgada,40,PT,69,37.73,-25.67,75.2,13.87
1,san quintin,88,PH,93,17.54,120.52,73.97,1.92
2,albany,90,US,88,42.65,-73.75,80.6,9.17
3,presidencia roque saenz pena,0,AR,48,-26.79,-60.44,66.14,8.3
4,puerto escondido,75,MX,69,15.86,-97.07,82.4,2.15
5,pahrump,1,US,38,36.21,-115.98,89.6,11.41
6,cotonou,40,BJ,78,6.37,2.43,80.6,14.99
7,sibolga,92,ID,100,1.74,98.78,70.01,1.7
8,poronaysk,0,RU,95,49.22,143.1,50.03,3.49
9,vaini,92,IN,98,15.34,74.49,69.74,6.73
10,pizarro,92,CO,100,4.95,-77.37,78.74,3.83
11,ushuaia,40,AR,59,-54.81,-68.31,41.0,23.04
12,mar del plata,36,AR,45,-46.43,-67.52,50.12,24.52
13,plettenberg bay,0,ZA,100,-34.05,23.37,60.11,23.96
14,lebu,48,ET,91,8.96,38.73,49.31,2.82
15,leningradskiy,20,RU,100,69.38,178.42,35.54,1.48
16,rikitea,88,PF,100,-23.12,-134.97,73.07,6.06
17,uyovu,0,TZ,89,-3.28,31.53,65.33,2.82
18,mahebourg,40,MU,83,-20.41,57.7,73.4,2.48
19,ilulissat,75,GL,54,69.22,-51.1,55.4,18.34
20,cape town,0,ZA,59,-33.93,18.42,62.6,13.87
21,vila velha,20,BR,65,-3.71,-38.6,82.4,23.04
22,nouadhibou,0,MR,69,20.93,-17.03,75.2,19.46
23,yellowknife,90,CA,76,62.45,-114.38,57.2,14.99
24,hermanus,0,ZA,61,-34.42,19.24,57.77,11.1
25,new norfolk,75,AU,76,-42.78,147.06,48.2,8.05
26,kodiak,1,US,54,39.95,-94.76,84.2,10.29
27,mendi,80,ET,99,9.8,35.1,60.2,1.81
28,torbay,75,CA,65,47.66,-52.73,77.0,10.29
29,east london,40,ZA,71,-33.02,27.91,57.2,5.82
30,busselton,88,AU,100,-33.64,115.35,56.69,30.11
31,barrow,48,AR,53,-38.31,-60.23,55.43,13.56
32,kulhudhuffushi,24,MV,100,6.62,73.07,83.06,7.74
33,kununurra,0,AU,67,-15.77,128.74,57.2,5.61
34,karasburg,0,NA,34,-28.01,18.75,55.7,10.54
35,isangel,20,VU,100,-19.55,169.27,71.27,14.9
36,mataura,8,NZ,99,-46.19,168.86,30.41,4.05
37,punta arenas,75,CL,80,-53.16,-70.91,35.6,29.97
38,qaanaaq,88,GL,99,77.48,-69.36,37.52,2.71
39,makat,32,KZ,26,47.65,53.35,80.72,2.93
40,port alfred,0,ZA,97,-33.59,26.89,59.84,11.77
41,hornepayne,0,CA,67,49.22,-84.78,68.3,3.71
42,bambanglipuro,8,ID,94,-7.95,110.28,62.63,3.94
43,gimli,0,CA,89,50.63,-96.99,73.61,13.44
44,cherskiy,0,RU,57,68.75,161.3,49.94,7.29
45,esperance,40,TT,59,10.24,-61.45,89.6,11.41
46,sitka,0,US,43,37.17,-99.65,91.16,17.36
47,puerto ayora,75,EC,73,-0.74,-90.35,73.4,20.8
48,heze,20,CN,78,35.25,115.45,81.89,3.94
49,charters towers,0,AU,91,-20.07,146.27,56.51,2.82
50,pasighat,48,IN,97,28.06,95.33,70.28,1.59
51,amahai,92,ID,100,-3.31,129.0,79.1,5.39
52,georgetown,40,GY,62,6.8,-58.16,87.8,11.41
53,khvorostyanka,64,RU,54,52.62,48.95,75.77,3.83
54,grand baie,40,MU,83,-20.02,57.58,73.4,4.61
55,dikson,48,RU,89,73.51,80.55,44.45,16.24
56,oussouye,75,SN,94,12.49,-16.54,86.0,9.17
57,khatanga,48,RU,68,71.98,102.47,45.17,8.63
58,escanaba,40,US,77,45.75,-87.06,66.2,8.05
59,grand gaube,40,MU,83,-20.01,57.66,73.4,4.61
60,avarua,90,CK,94,-21.21,-159.78,68.0,13.87
61,nikolskoye,0,RU,57,59.7,30.79,78.8,11.18
62,atuona,0,PF,100,-9.8,-139.03,79.46,16.69
63,alofi,90,NU,93,-19.06,-169.92,64.4,4.16
64,zlatibor,20,RS,77,43.73,19.7,69.8,3.36
65,minab,20,IR,75,27.15,57.07,93.2,9.17
66,bredasdorp,8,ZA,72,-34.53,20.04,59.0,14.99
67,ishigaki,92,JP,100,24.34,124.16,83.96,15.46
68,cidreira,92,BR,100,-30.17,-50.22,61.46,8.41
69,hilo,90,US,88,19.71,-155.08,75.2,9.17
70,hobart,75,AU,76,-42.88,147.33,48.2,8.05
71,tabou,36,CI,100,4.42,-7.36,78.29,14.45
72,awbari,68,LY,13,26.59,12.77,97.91,4.16
73,roma,75,IT,73,41.89,12.48,80.6,8.05
74,vernon,90,CA,77,50.27,-119.27,62.6,5.82
75,bethel,90,US,93,60.79,-161.76,53.6,11.41
76,dunedin,92,NZ,100,-45.87,170.5,43.46,2.48
77,castro,92,CL,87,-42.48,-73.76,47.33,9.75
78,dzilam gonzalez,12,MX,48,21.28,-88.93,94.94,7.4
